Year,Month,Category,TargetSalesAmount
2023,7,Clothing,170360.5
2023,7,Electronics,165607.41
2023,7,Furniture,106037.52
2023,7,Kitchen,158513.58
2023,7,Outdoors,103712.91
2023,8,Accessories,186129.55
2023,8,Clothing,194011.06
2023,8,Electronics,149148.54
2023,8,Furniture,110880.87
2023,8,Kitchen,138919.87
2023,8,Outdoors,111137.04
2023,9,Accessories,166610.41
2023,9,Clothing,180183.87
2023,9,Electronics,171885.9
2023,9,Furniture,121944.12
2023,9,Kitchen,192802.5
2023,9,Outdoors,96684.17
2023,10,Accessories,140355.58
2023,10,Clothing,151370.7
2023,10,Electronics,106184.65
2023,10,Furniture,95799.62
2023,10,Kitchen,192034.13
2023,10,Outdoors,101957.88
2023,11,Accessories,135965.9
2023,11,Clothing,189158.33
2023,11,Electronics,117860.91
2023,11,Furniture,121570.47
2023,11,Kitchen,174434.06
2023,11,Outdoors,87784.38
2023,12,Accessories,180025.88
2023,12,Clothing,163163.35
2023,12,Electronics,151286.38
2023,12,Furniture,149635.72
2023,12,Kitchen,129621.08
2023,12,Outdoors,113081.66
2024,1,Accessories,147867.11
2024,1,Clothing,208403.28
2024,1,Electronics,140780.41
2024,1,Furniture,105743.38
2024,1,Kitchen,146562.49
2024,1,Outdoors,131444.88
2024,2,Accessories,151131.14
2024,2,Clothing,191906.43
2024,2,Electronics,143722.62
2024,2,Furniture,136286.89
2024,2,Kitchen,164486.8
2024,2,Outdoors,140419.73
2024,3,Accessories,208618.12
2024,3,Clothing,182673.54
2024,3,Electronics,160690.28
2024,3,Furniture,119159.51
2024,3,Kitchen,179766.47
2024,3,Outdoors,119745.78
2024,4,Accessories,200057.22
2024,4,Clothing,182778.86
2024,4,Electronics,118667.57
2024,4,Furniture,100972.68
2024,4,Kitchen,147397.39
2024,4,Outdoors,119394.49
2024,5,Accessories,182855.86
2024,5,Clothing,196641.73
2024,5,Electronics,163921.79
2024,5,Furniture,114386.74
2024,5,Kitchen,135138.19
2024,5,Outdoors,135050.77
2024,6,Accessories,134054.56
2024,6,Clothing,180141.08
2024,6,Electronics,123079.75
2024,6,Furniture,101409.1
2024,6,Kitchen,140841.68
2024,6,Outdoors,145889.38
2024,7,Accessories,179207.09
2024,7,Clothing,139528.12
2024,7,Electronics,131233.35
2024,7,Furniture,91612.55
2024,7,Kitchen,124279.55
2024,7,Outdoors,123440.59
2024,8,Accessories,177746.39
2024,8,Clothing,200205.12
2024,8,Electronics,130505.93
2024,8,Furniture,163183.63
2024,8,Kitchen,158235.76
2024,8,Outdoors,136076.51
2024,9,Accessories,185145.14
2024,9,Clothing,146541.14
2024,9,Electronics,118892.94
2024,9,Furniture,136592.23
2024,9,Kitchen,205336.95
2024,9,Outdoors,114681.89
2024,10,Accessories,169306.84
2024,10,Clothing,205251.52
2024,10,Electronics,143775.73
2024,10,Furniture,131646.77
2024,10,Kitchen,147816.09
2024,10,Outdoors,97722.99
2024,11,Accessories,173710.84
2024,11,Clothing,150054.41
2024,11,Electronics,128761.2
2024,11,Furniture,110577.38
2024,11,Kitchen,155257.55
2024,11,Outdoors,106650.79
2024,12,Accessories,175612.78
2024,12,Clothing,157026.44
2024,12,Electronics,161415.4
2024,12,Furniture,96578.52
2024,12,Kitchen,140719.21
2024,12,Outdoors,150128.21
